RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;HICHEM63;87.0;37;;
2;PARTHAKAR;85.0;36;;
3;TAPAN DAS;71.0;36;;
4;KBKING;62.0;35;;
5;RAV123;58.0;34;;
5;TOMEKT;58.0;34;;
7;PAULASH JISHNU;55.0;33;;
8;P N RAO;54.0;32;;
9;LOOPL;53.0;31;;
10;VOLTZ;51.0;31;;
11;CHAMP1995;50.0;30;;
12;BZIR;48.0;30;;
13;IZABELA GÓRNICKA;43.0;29;;
14;SAYCHEESE;40.0;28;;
15;GDADDY;39.0;28;;
15;JEAN2646;39.0;28;;
17;T530;37.0;27;;
18;NEER;36.0;26;;
19;BRUNETM;35.0;26;;
20;RAYMOND TSENG;34.0;25;;
21;EDHUNG;33.0;25;;
22;DRAPODY;32.0;24;;
23;MURATTINO;31.0;24;;
24;OBOI;30.0;23;;
25;LIONHEART3NT;28.0;23;;
25;CENNK;28.0;23;;
25;MEMOTS;28.0;23;;
28;YPRES;25.0;21;;
28;PAWLUT;25.0;21;;
30;GENEG;24.0;21;;
31;CETIN;23.0;20;;
31;FEYZAN;23.0;20;;
31;VOFF;23.0;20;;
34;MAMOU_BADI;22.0;19;;
35;LUCIEN ŠÍMA;21.0;19;3585;
36;RYCHO45;20.0;18;;
36;ESAS;20.0;18;;
38;TOPURS;18.0;18;;
39;OSMANOZCAN;17.0;17;;
40;MEIMEI8600;16.0;17;;
40;CAPKETTY;16.0;17;;
42;TIM94;15.0;16;3678;
42;SUNAY1967;15.0;16;;
42;UNIMOJO;15.0;16;;
45;ANDREJSFR;14.0;15;;
46;MAURICE05;13.0;15;;
46;CMOREU;13.0;15;;
46;DIDIER GENARD;13.0;15;;
49;MSTOKKE;12.0;14;;
50;BOGDAN_P;11.0;14;;
51;CANOE CHEN;10.0;13;;
51;ACURA;10.0;13;;
51;SOLPET;10.0;13;;
51;.TORNILLO.;10.0;13;;
55;DELGRIO;9.0;12;;
56;JETER2452;8.0;12;;
57;TANTRICK;7.0;12;;
57;YHNCR15;7.0;12;;
57;FISHADORE;7.0;12;;
57;PPCP;7.0;12;;
61;GDB84;6.0;11;;
62;ROBBEL;5.0;11;;
62;STANISLAWS;5.0;11;;
